UF;Município;Cargo / Esfera Partidária;Limite de Gastos 1° Turno;Limite de Gastos 2° Turno;Quantidade Limite de Contratação;Eleitorado Apto
MT;TESOURO;Vereador;10803.91;0;14;2744
MT;TORIXORÉU;Prefeito;164880.48;0;31;3128
MT;TORIXORÉU;Vereador;14267.92;0;16;3128
MT;UNIÃO DO SUL;Prefeito;108039.06;0;26;2570
MT;UNIÃO DO SUL;Vereador;10803.91;0;13;2570
MT;VALE DE SÃO DOMINGOS;Prefeito;151761.55;0;27;2690
MT;VALE DE SÃO DOMINGOS;Vereador;22679.75;0;14;2690
MT;VERA;Prefeito;108039.06;0;66;6582
MT;VERA;Vereador;27197.99;0;33;6582
MT;VILA BELA DA SANTÍSSIMA TRINDADE;Prefeito;327313.47;0;100;9982
MT;VILA BELA DA SANTÍSSIMA TRINDADE;Vereador;10803.91;0;50;9982
MT;VILA RICA;Prefeito;108039.06;0;133;13251
MT;VILA RICA;Vereador;10803.91;0;67;13251
MT;VÁRZEA GRANDE;Prefeito;2492363.87;0;453;182981
MT;VÁRZEA GRANDE;Vereador;82482.77;0;192;182981
MT;ÁGUA BOA;Prefeito;965862.18;0;162;16245
MT;ÁGUA BOA;Vereador;45710.78;0;81;16245
